UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0781069N;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;24;Apprentissage;20
0062221G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;137;Apprentissage;100
0161131T;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;35;Apprentissage;20
0731364L;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;149;Apprentissage;36
0755545V;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;282;Apprentissage;40
0755545V;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;166;Apprentissage;25
0755545V;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;167;Apprentissage;22
0380081G;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;309;Apprentissage;12
0660010C;BTS - Services - Assurance - en apprentissage;32211031311;143;Apprentissage;20
0593058D;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;79;Apprentissage;30
0520939N;BTS - Agricole - Gestion et protection de la nature;32212021308;134;Scolaire;18
0540042C;BTS - Production - Conception de produits industriels - en apprentissage;32211020009;99;Apprentissage;15
0442276K;BTS - Services - Comptabilité et gestion;32211031408;77;Scolaire;30
0120031U;BTS - Services - Gestion de la PME - en apprentissage;32211031409;56;Apprentissage;8
0422315N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;159;Apprentissage;20
